Row,flagellatus,pecki,bifurcatus,Crangonyx ,Sicifera,russelli
1,0.6,0.894736842,0.6875,0.414634146,0.4000234,0.5
2,0.357142857,0.703703704,0.53030303,0.5,0.469408225,0.571428571
3,0.4,0.5,0.5,0.5,0.397572528,0.481481481
4,0.5,0.722222222,0.377777778,0.583333333,0.474984643,0.333333333
5,0.666666667,0.75,0.846153846,0.55,0.464317052,0.529411765
6,,0.6,,,,0.58
7,,0.594594595,,,,0.595744681
8,,,,,,0.411764706
9,,,,,,0.666666667
10,,,,,,0.47826087
